,Latinsk navn,Norsk navn,Antall,Input,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,Artsgruppe,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_id
46,Anastrepta orcadensis,heimose,4,Anastrepta orcadensis,184969,105263,Anastrepta orcadensis,(Hook.) Schiffn.,species,,,Moser,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Anastrophyllaceae,Anastrepta,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Anastrophyllaceae Anastrepta,heimose,heimose,,2689205
47,Andreaea,sotmoser,3,Andreaea,63943,103983,Andreaea,Hedw.,genus,,,Moser,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae,sotmoseslekta,sotmoseslekta,,2673379
48,Andreaea alpina,felesotmose,3,Andreaea alpina,200623,103985,Andreaea alpina,Hedw.,species,,,Moser,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,felesotmose,felesotmose,,5283964
49,Andreaea nivalis,snøsotmose,3,Andreaea nivalis,178904,103990,Andreaea nivalis,Hook.,species,,,Moser,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,snøsotmose,snøsotmose,,5283946
50,Andreaea rothii,nervesotmose,1,Andreaea rothii,178925,103992,Andreaea rothii,F.Weber & D.Mohr,species,,,Moser,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,nervesotmose,nervesotmose,,5283980
51,Andreaea rupestris,bergsotmose,2,Andreaea rupestris,178932,103995,Andreaea rupestris,Hedw.,species,,,Moser,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,bergsotmose,bergsotmose,,5283962
52,Andromeda polifolia,hvitlyng,9,Andromeda polifolia,130305,101769,Andromeda polifolia,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Ericales,Ericaceae,Andromeda,,,,Plantae Magnoliophyta Eudicots Ericales Ericaceae Andromeda,hvitlyng,kvitlyng,,5333413
53,Androsace septentrionalis,smånøkkel,4,Androsace septentrionalis,130316,101869,Androsace septentrionalis,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Ericales,Primulaceae,Androsace,,,,Plantae Magnoliophyta Eudicots Ericales Primulaceae Androsace,smånøkkel,smånøkkel,,3169326
54,Anema nummularium,myntaskelav,1,Anema nummularium,51454,75481,Anema nummularium,(Dur. & Mont.) Forssell,species,,,Lav,Fungi,Ascomycota,Lichinomycetes,Lichinales,Lichinaceae,Anema,,,,Fungi Ascomycota Pezizomycotina Lichinomycetes Lichinales Lichinaceae Anema,,,,8280752
55,Anemone nemorosa,hvitveis,21,Anemone nemorosa,130330,103087,Anemone nemorosa,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Anemone,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Anemone,hvitveis,kvitsymre,,3033263
56,Anemone ranunculoides,gulveis,1,Anemone ranunculoides,130331,103088,Anemone ranunculoides,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Anemone,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Anemone,gulveis,gulsymre,,3033266
57,Aneura pinguis,fettmose,8,Aneura pinguis,200528,105480,Aneura pinguis,(L.) Dumort.,species,,,Moser,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Aneuraceae,Aneura,,,,Plantae Marchantiophyta Jungermanniopsida Metzgeriales Aneuraceae Aneura,fettmose,feittmose,,5286381
58,Angelica archangelica archangelica,fjellkvann,5,Angelica archangelica archangelica,130352,100266,Angelica archangelica archangelica,,subspecies,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Angelica,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Angelica Angelica archangelica,fjellkvann,fjellkvann,,7065260
